_id,name,country,aqi,pm25,pm10,no2,co,o3,so2,humidity,temperature,wind,update_time,lat,lon,saved_at,population,area
67f22f3ff12f56994b13fcae,Ninh Thuận,Vietnam,49,49,27,0,0,9,1,N/A,N/A,N/A,2025-04-06 14:00:00,11.5667,108.9833,14:37 06/04/2025,,
67f22f3ff12f56994b13fcb2,"Møllebjergvej, Rudkøbing",Denmark,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2025-04-06 08:34:06,54.9404,10.7096,14:37 06/04/2025,,
67f22f3ff12f56994b13fcb3,H.C. Ørsted Institutet,Denmark,29,N/A,N/A,1.4,1.3,28.9,N/A,62,5,0.2,2025-04-06 08:00:00,55.6969,12.5596,14:37 06/04/2025,,
67f22f3ff12f56994b13fcb5,"Midtvej, Hobro",Denmark,14,14,10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2025-04-06 08:35:43,56.6431,9.7939,14:37 06/04/2025,,
67f22f3ff12f56994b13fcb8,"Kjærslund, Aarhus",Denmark,6,6,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2025-04-06 08:35:07,56.1567,10.2108,14:37 06/04/2025,,
67f22f3ff12f56994b13fcb6,H.C.Andersens Boulevard,Denmark,30,30,1,2.9,1.6,27.2,0.3,62,5,0.2,2025-04-06 07:00:00,55.6759,12.5727,14:37 06/04/2025,,
67f22f3ff12f56994b13fcb7,Risø,Denmark,27,N/A,3,2.4,1.5,27.4,N/A,77.5,3,1,2025-04-06 07:00:00,55.6931,12.099,14:37 06/04/2025,,
67f22f3ff12f56994b13fcaf,"Udsigten, Morud",Denmark,3,3,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2025-04-06 08:34:12,55.2667,10.5167,14:37 06/04/2025,,
67f22f40f12f56994b13fcb9,"Bøgehegnet, Greve Strand",Denmark,3,3,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2025-04-06 08:35:29,55.5833,12.3,14:37 06/04/2025,,
67f22f3ff12f56994b13fcb4,"Vardevej, Tarm",Denmark,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2025-04-06 08:33:54,55.9083,8.5194,14:37 06/04/2025,,
67f22f40f12f56994b13fcbb,"Rådhus, Odense",Denmark,14,N/A,N/A,2,N/A,14,N/A,N/A,N/A,N/A,2025-04-06 06:00:00,55.3962,10.3883,14:37 06/04/2025,,
67f28db731e5b5c4a16c13c6,Cần Thơ,Vietnam,33,N/A,33,47,1,3,N/A,74,29,3,2025-04-06 18:00:00,10.0452,105.7469,21:20 06/04/2025,,
67f28db731e5b5c4a16c13c7,Hà Nội,Vietnam,92,92,53,6,0,2,1,N/A,N/A,N/A,2025-04-06 21:00:00,21.0044,105.8432,21:20 06/04/2025,,
67f28db731e5b5c4a16c13c5,Thanh Hoá,Vietnam,16,16,9,N/A,3,N/A,24,90.6,21.6,1,2025-04-06 21:00:00,19.807,105.776,21:20 06/04/2025,,
67f22f3ff12f56994b13fcb1,"Møllen, Skanderborg",Denmark,5,5,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2025-04-06 08:33:36,56.0349,9.9272,14:37 06/04/2025,,
67f28db731e5b5c4a16c13c4,Trà Vinh,Vietnam,36,36,23,4,6,25,8,N/A,N/A,N/A,2025-04-06 21:00:00,9.9472,106.342,21:20 06/04/2025,,
67f22f40f12f56994b13fcba,"Østerbro, Aalborg",Denmark,8,N/A,N/A,3,N/A,8,N/A,N/A,N/A,N/A,2025-04-06 06:00:00,57.0488,9.9217,14:37 06/04/2025,,
67f28db831e5b5c4a16c13cc,Bình Dương,Vietnam,35,28,35,1,0,10,0,N/A,N/A,N/A,2025-04-06 21:00:00,11.3254,106.477,21:20 06/04/2025,,
67f28db831e5b5c4a16c13cd,Quảng Bình,Vietnam,64,64,46,102,2,3,2,95.2,21.4,1,2025-04-06 21:00:00,17.4656,106.6222,21:20 06/04/2025,,
67f28db831e5b5c4a16c13ca,Lạng Sơn,Vietnam,77,77,47,7,5,2,7,96.9,19.2,1,2025-04-06 21:00:00,21.8549,106.7615,21:20 06/04/2025,,
67f28db731e5b5c4a16c13c8,Long An,Vietnam,40,40,26,4,0,13,0,N/A,N/A,N/A,2025-04-06 21:00:00,10.5333,106.4167,21:20 06/04/2025,,
67f28db831e5b5c4a16c13cb,Nha Trang,Vietnam,37,37,24,13,5,10,72,78,26,5.1,2025-04-06 19:00:00,12.2388,109.1967,21:20 06/04/2025,,
67f28db731e5b5c4a16c13c9,Vũng Tàu,Vietnam,24,24,19,6,3,16,2,68,28.3,3.5,2025-04-06 21:00:00,10.346,107.0843,21:20 06/04/2025,,
